"ProbeID","KO5_1","KO5_2","KO5_3","KO5_4","KO5_5","KO6_1","KO6_2","KO6_3","KO6_5","SYMBOL"
"10353189",12.9613559993827,13.0465998343248,13.1453387313758,13.1363238458697,13.0360775069703,13.0510826230829,12.9974466124116,12.9590751790968,13.1043058606729,"Gapdh"
"10353250",13.4379397183913,13.5526045698066,13.6545372470745,13.6397015747105,13.5196452217497,13.5482950311402,13.4709126984474,13.405748803253,13.6625667079926,"Gapdh"
"10361710",12.7453483742237,12.83196140162,12.9289920125993,12.9571942880029,12.7394458783501,12.784263084914,12.7685419761615,12.7418519521671,12.8702368365716,"Gapdh"
"10368612",12.8818085245519,12.973995641903,13.0726246481203,12.9934069607306,12.8828163992349,12.8558082943087,12.8334169900106,12.7998895626561,12.991686798832,"Gapdh"
"10374175",13.172223079027,13.2079728705582,13.1371951393833,13.0450461732878,13.1381929138317,13.037888964952,13.0604659483758,13.1304309711245,12.974893129172,"Ppia"
"10374764",12.9898660378692,13.0881258263847,13.1917925749774,13.1338107363585,13.0324874123271,13.0370383658012,12.9646427280906,12.936773604843,13.1369744780693,"Gapdh"
"10384493",12.7535935037568,12.8436004516571,12.9310655373709,12.839345589703,12.787765968139,12.6964524725676,12.7365564863332,12.7394607642651,12.8222244330213,"Gapdh"
"10384552",13.2551065051221,13.3586285095827,13.4207896574854,13.3840153009221,13.2916246378688,13.2776442631654,13.1848065297334,13.1740834147747,13.4067727276245,"Gapdh"
"10386947",12.7622945856506,12.8417507165606,12.8991298731998,12.8341098391813,12.7651011641189,12.7355693021448,12.7747425161159,12.729494899457,12.7723511749358,"Gapdh"
"10387588",11.1694341449048,11.0638544323658,11.1395398223033,11.0672079756729,11.067126165221,11.1839790629374,11.2743079970724,11.2059683900063,11.3155769284984,"Polr2a"
"10389522",11.1609101949146,10.9677167566154,11.1687196410528,11.204736042204,11.0213563165724,11.137195003269,10.9326546182937,10.7690960862415,10.9664505404888,"Rpl13a"
"10393754",13.4027787961075,13.3121937067178,13.2730823435201,13.2521926935211,13.2875172288627,13.2468685132668,13.2749317766043,13.2323428990094,13.2062115779381,"Actb"
"10406417",13.3607726326119,13.2906745652671,13.3266873556451,13.249685281419,13.2668168038921,13.2685899952816,13.2263243910447,13.1996155253324,13.2034620267525,"Actb"
"10409200",12.8277094808849,12.8753463578632,12.9943890140578,12.9734657506812,12.8284315260272,12.8237299263633,12.7738155711338,12.7186730718168,12.8813508327485,"Gapdh"
"10410625",11.8336039754729,11.9078409471742,11.8853464163487,11.994358730267,11.9121255682891,11.8037653428274,11.8074764873401,11.7125817839813,11.6342038517633,"Sdha"
"10411452",13.4035207808711,13.5290574184192,13.628388692458,13.6092105807579,13.4968393915501,13.5197047485203,13.4353473592888,13.3761149557526,13.6324883330911,"Gapdh"
"10414431",12.5772271009955,12.5958066781441,12.6984031254508,12.6409524222657,12.4893783660437,12.5115575259494,12.5141127500326,12.4542986535074,12.5542003052794,"Gapdh"
"10415444",12.7294341858399,12.8743668614882,12.9489461045107,12.9032147029438,12.8628096919869,12.8946447659204,12.8273767961364,12.8171536597166,12.9135885913597,"Gapdh"
"10417617",13.3315355641603,13.3944404015306,13.4853785482575,13.4175935750832,13.3389790914199,13.3278203247842,13.3003216696199,13.2742684981405,13.4862054620106,"Gapdh"
"10422161",13.1458930712396,13.1941678219523,13.308188122376,13.2640528923801,13.16920831623,13.1925100840127,13.0972140019161,13.0980212199262,13.2694951827939,"Gapdh"
"10422655",13.0310066623613,13.1244690906254,13.2083255803071,13.1446728449474,13.0731179456017,13.0478173060976,13.0207320715606,12.9916961794982,13.17048533956,"Gapdh"
"10423180",13.1067341791648,13.1977464298971,13.2860498210227,13.2302380142879,13.1396030368542,13.1313833876781,13.087939796544,13.042757190588,13.2313493777336,"Gapdh"
"10425903",12.6779156978852,12.8138902748755,12.9152775124511,12.8435714418827,12.7445460916127,12.7036086016758,12.7065914240162,12.6509483593808,12.8150389153519,"Gapdh"
"10426435",13.0000308594663,13.1036899478674,13.1839279549829,13.1356592670002,13.039020135537,13.046910880691,13.0025014537401,12.9488984120757,13.1538981245882,"Gapdh"
"10428204",10.8558605569966,10.9416103604436,10.7891152761101,10.7117771200292,10.8797321902324,10.6152396704171,10.8803842207185,10.8991386138062,10.9332336406353,"Ywhaz"
"10441396",13.023427937805,12.9738604583881,12.9716584818027,12.9313979694362,12.9754766124903,12.8405866515603,12.9495377489542,12.9917258461622,12.8602551988792,"Ppia"
"10441973",12.1755033562111,12.3664443599874,12.3948378992636,12.3159191887482,12.2852662083875,12.4835201632477,12.3117902189551,12.3278387773534,12.4031726449811,"Tbp"
"10447699",12.8719426460103,12.9465816644441,13.0538447531014,13.0080931214492,12.924332401093,12.9718453549478,12.9012389632241,12.88684354405,13.0368541327226,"Gapdh"
"10449523",11.4138593815687,11.5698294260258,11.3632285649264,11.2033426311027,11.3504902247578,11.5283079535677,11.4112406003541,11.4664720493146,11.6411651246214,"Pxt1"
"10452415",13.495479832434,13.5944700792271,13.6614679016906,13.6536951542097,13.571458536447,13.5973620682276,13.5326050426497,13.4784670337697,13.696762478408,"Gapdh"
"10455780",13.0856979680528,13.1883060646022,13.3048927740494,13.2549337894922,13.1414192465038,13.1771956241234,13.1112319564801,13.0786087790352,13.2283012502778,"Gapdh"
"10463064",12.6304543560338,12.7332489566379,12.8332334221103,12.7477877330162,12.6329160057295,12.6029366442425,12.6097721368573,12.5628874757338,12.7067486100361,"Gapdh"
