GENES,SYMBOL_final,ENSEMBL_final,logFC,adj.P.Val
Nmur1_ENSMUSG00000026237,Nmur1,ENSMUSG00000026237,0.537597408769651,0.00635919510755308
Tbc1d7_ENSMUSG00000021368,Tbc1d7,ENSMUSG00000021368,-0.514724870876854,0.0473468026755239
Ndufs5-ps_NA,Ndufs5-ps,NA,-0.542219367283978,0.0430364047804254
1700073E17Rik_NA,1700073E17Rik,NA,-0.571322648435034,0.021448483362201
Capza1b_ENSMUSG00000055357,Capza1b,ENSMUSG00000055357,-4.40996498880222,0.0255813909172678
