"ProbeID","KO5_1","KO5_2","KO5_3","KO5_4","KO5_5","KO6_1","KO6_2","KO6_3","KO6_5","SYMBOL"
"10353189",12.9273401158748,13.028896061326,13.0736927200785,13.0641769429641,13.028896061326,13.028896061326,13.0018395448774,12.9575160157491,13.0366358578384,"Gapdh"
"10353250",13.412664111499,13.5515870117434,13.650463076501,13.592292456574,13.5438493576653,13.5411495384733,13.4872058731284,13.4218569804494,13.6084051450289,"Gapdh"
"10361710",12.4174770733479,12.4991704311376,12.5474721524759,12.5766189735111,12.4253353909244,12.4453729970645,12.4364129893298,12.448802238016,12.5258250247018,"Gapdh"
"10368612",12.7725479278839,12.8836462703448,12.9418550723279,12.8267615470745,12.8267615470745,12.7901985498801,12.7778884388903,12.7446618147714,12.8428544626637,"Gapdh"
"10374175",12.9816360864298,12.9966364904696,12.922884435598,12.8353546015906,12.9604469412091,12.9138560414022,12.9029118408886,12.9567729663741,12.7764175655625,"Ppia"
"10374764",12.9090359471185,12.9823259432983,13.0748366987908,12.9934929273953,12.9754850938148,12.9744154525377,12.9233488055874,12.8959879005463,13.0030409536848,"Gapdh"
"10384493",12.6593504369013,12.7024068544508,12.7860749220132,12.6800366447549,12.6963843112524,12.6465030552714,12.6674556485819,12.6379736823608,12.6738504864494,"Gapdh"
"10384552",13.1099261927076,13.1801243110616,13.23337531737,13.1815008812635,13.1694080704405,13.1634592446838,13.0950287051879,13.0771263130705,13.2040171049637,"Gapdh"
"10386947",12.1989741078769,12.2923569880936,12.3296918045113,12.2340135519961,12.2340135519961,12.1638480939549,12.2340135519961,12.2215138006846,12.2247860984313,"Gapdh"
"10387588",10.7879116155603,10.7236361190919,10.7879116155603,10.7216783426164,10.7034325817705,10.7932440620558,10.8976697856218,10.8305495611883,10.9561268693645,"Polr2a"
"10389522",10.8502581538226,10.7285630834024,10.8603532188582,10.9602894996157,10.7732374663183,10.7854873701442,10.71576484053,10.5956937123387,10.7314915556962,"Rpl13a"
"10393754",13.4932646562114,13.4170211708074,13.3836864877355,13.3736211099237,13.4074229055586,13.3624123431909,13.3986669806108,13.3675022433354,13.3218674425498,"Actb"
"10406417",13.7326488167463,13.6741086607688,13.6767240530537,13.6231356350062,13.6524775390459,13.640288782351,13.6479510907675,13.6179211003784,13.5681264969822,"Actb"
"10409200",12.7855470724571,12.7986578493215,12.8934599104823,12.8479077590621,12.8031253262107,12.7901458421103,12.7435867420045,12.7089098121104,12.7986578493215,"Gapdh"
"10410625",11.8478325571575,11.921537721398,11.8618905190951,11.9641451127329,11.9411551201808,11.8214156745626,11.8293722034781,11.759894849168,11.6481549663202,"Sdha"
"10411452",13.2411501479822,13.3815733728966,13.4911290540694,13.4226609102081,13.3769860316837,13.3734110004675,13.3178947101723,13.2521561616296,13.4331683934447,"Gapdh"
"10414431",12.2166121571315,12.2696139370387,12.3548517110932,12.2707195930486,12.2134081694585,12.1887076634365,12.1931883497439,12.1875530322806,12.2134081694585,"Gapdh"
"10415444",12.675726601066,12.7840472242418,12.8163730316498,12.7831883820201,12.7872053162578,12.8152222334724,12.7898191920716,12.7840472242418,12.8072684630824,"Gapdh"
"10417617",13.2798197790539,13.3419740712285,13.3936011267303,13.3295603518251,13.328201646949,13.3203933415639,13.2917199951698,13.2491709329168,13.3734934757789,"Gapdh"
"10422161",13.046229720175,13.0997627721512,13.179785631416,13.1037219058597,13.1033378033674,13.1008059315628,13.0436337375149,13.0209292399026,13.1276021121144,"Gapdh"
"10422655",12.9429693066485,13.0415867052617,13.0813252664522,13.0069868029754,13.0069868029754,12.9887562367368,12.9613397925783,12.9350132538664,13.0491083204278,"Gapdh"
"10423180",13.0430836102863,13.1190149567106,13.1779899546492,13.0999246340673,13.0969051599845,13.0939783697424,13.0533274683455,13.0184776079931,13.1222885389642,"Gapdh"
"10425903",12.2669822763444,12.4039584159914,12.468599666391,12.367502044525,12.3509967799333,12.2877145046801,12.2933917820486,12.2663580334462,12.3542914515886,"Gapdh"
"10426435",13.0345805376391,13.117810609613,13.1777480740024,13.1015632172301,13.0991563426999,13.0948472661309,13.0623403282409,13.0144342553192,13.1256779446859,"Gapdh"
"10428204",10.8441646456817,10.904932866858,10.8160960331086,10.668168196253,10.829238471253,10.6484429756445,10.8546728436876,10.9819050310089,10.8993411910994,"Ywhaz"
"10441396",13.0629666710255,12.9683387956394,12.9683387956394,12.9373952639843,12.9799538149169,12.8713228545698,12.9683387956394,13.0219863697604,12.8642243882872,"Ppia"
"10441973",12.0281848572642,12.190637055142,12.2051318821543,12.1316747748153,12.1651480108537,12.3424552388818,12.1860001196308,12.1903585333459,12.1929234683554,"Tbp"
"10447699",12.8382575767027,12.9149732059442,12.9597698646967,12.9350625483296,12.9246528670526,12.9433583217826,12.8677989025058,12.8744582045566,12.9552627130128,"Gapdh"
"10449523",11.3660598579913,11.4897891167758,11.3363799135409,11.1292956940452,11.2948827590988,11.4541789995938,11.3644875434818,11.3844222538787,11.5636406502281,"Pxt1"
"10452415",13.6037612953865,13.7169556809815,13.7491589963858,13.7343343444967,13.7162927079171,13.7162927079171,13.6842297350637,13.6299597763038,13.7752684710104,"Gapdh"
"10455780",12.9845846484881,13.0685477234625,13.1745881548078,13.0979172579119,13.0685477234625,13.0685477234625,13.0307449338098,13.025324267032,13.0953439040142,"Gapdh"
"10463064",12.3394497380226,12.4451511939154,12.4979091978332,12.3923846599661,12.3768565357649,12.3378559559183,12.3441177300792,12.3029642827068,12.3746804186585,"Gapdh"
