"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.00103065239215552,39,27,4,0.148148148148148,0.102564102564103,"REAC:R-MMU-196071","REAC","Metabolism of steroid hormones",8429,850,"REAC:R-MMU-8957322"
"query_1",TRUE,0.0159221926992506,1667,27,14,0.518518518518518,0.00839832033593281,"REAC:R-MMU-1430728","REAC","Metabolism",8429,831,"REAC:0000000"
"query_1",TRUE,0.0236669538195143,123,27,4,0.148148148148148,0.032520325203252,"REAC:R-MMU-8957322","REAC","Metabolism of steroids",8429,851,"REAC:R-MMU-556833"
"query_1",TRUE,0.0236669538195143,11,27,2,0.0740740740740741,0.181818181818182,"REAC:R-MMU-196108","REAC","Pregnenolone biosynthesis",8429,1112,"REAC:R-MMU-196071"
"query_1",TRUE,0.0327645600271256,15,27,2,0.0740740740740741,0.133333333333333,"REAC:R-MMU-193048","REAC","Androgen biosynthesis",8429,111,"REAC:R-MMU-196071"
"query_1",TRUE,0.045842372708338,571,27,7,0.259259259259259,0.0122591943957968,"REAC:R-MMU-556833","REAC","Metabolism of lipids",8429,842,"REAC:R-MMU-1430728"
"query_1",TRUE,0.0462551836368707,21,27,2,0.0740740740740741,0.0952380952380952,"REAC:R-MMU-8935690","REAC","Digestion",8429,387,"REAC:R-MMU-8963743"
"query_1",TRUE,0.0485685912401502,23,27,2,0.0740740740740741,0.0869565217391304,"REAC:R-MMU-8963743","REAC","Digestion and absorption",8429,388,"REAC:0000000"
